dag_id,data,mse_factor,name,stage_id
4443fbeb-f782-11e9-a61e-340286a22b19,{'d25': {'size': 200}},0,graph,3
4443fbeb-f782-11e9-a61e-340286a22b19,{'c21': {'size': 160}},0,graph,4
4443fbeb-f782-11e9-a61e-340286a22b19,{'c21': {'size': 160}},0,graph,4
dag_id,data,mse_factor,name,stage_id
a3b6cf28-f787-11e9-a61e-340286a22b19,{'c26': {'size': 40}},0,graph,0
a3b6cf28-f787-11e9-a61e-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
a3b6cf28-f787-11e9-a61e-340286a22b19,"{'d21': {'size': 160}, 'f': {'size': 150}, 'c26': {'size': 240}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
a3b6cf29-f787-11e9-a61e-340286a22b19,{'a27': {'size': 40}},0,graph,0
a3b6cf29-f787-11e9-a61e-340286a22b19,"{'b3': {'size': 96}, 'a27': {'size': 160}}",0,graph,0
a3b6cf29-f787-11e9-a61e-340286a22b19,"{'c26': {'size': 160}, 'b3': {'size': 160}, 'a27': {'size': 240}}",0,graph,0
a3b6cf29-f787-11e9-a61e-340286a22b19,{'d6': {'size': 93}},0,graph,1
a3b6cf29-f787-11e9-a61e-340286a22b19,"{'b16': {'size': 125}, 'd6': {'size': 185}}",0,graph,1
a3b6cf29-f787-11e9-a61e-340286a22b19,"{'a18': {'size': 320}, 'b16': {'size': 250}, 'd6': {'size': 277}}",0,graph,1
a3b6cf29-f787-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
a3b6cf29-f787-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
a3b6cf29-f787-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
a3b6cf29-f787-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
dag_id,data,mse_factor,name,stage_id
a3b6cf27-f787-11e9-a61e-340286a22b19,{'a2': {'size': 160}},0,graph,0
dag_id,data,mse_factor,name,stage_id
cb19860e-f788-11e9-a61e-340286a22b19,{'c26': {'size': 40}},0,graph,0
cb19860e-f788-11e9-a61e-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
cb19860e-f788-11e9-a61e-340286a22b19,"{'d21': {'size': 160}, 'f': {'size': 150}, 'c26': {'size': 240}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
cb19860f-f788-11e9-a61e-340286a22b19,{'a27': {'size': 40}},0,graph,0
cb19860f-f788-11e9-a61e-340286a22b19,"{'b3': {'size': 96}, 'a27': {'size': 160}}",0,graph,0
cb19860f-f788-11e9-a61e-340286a22b19,"{'c26': {'size': 160}, 'b3': {'size': 160}, 'a27': {'size': 240}}",0,graph,0
cb19860f-f788-11e9-a61e-340286a22b19,{'d6': {'size': 93}},0,graph,1
cb19860f-f788-11e9-a61e-340286a22b19,"{'b16': {'size': 125}, 'd6': {'size': 185}}",0,graph,1
cb19860f-f788-11e9-a61e-340286a22b19,"{'a18': {'size': 320}, 'b16': {'size': 250}, 'd6': {'size': 277}}",0,graph,1
cb19860f-f788-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
cb19860f-f788-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
cb19860f-f788-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
cb19860f-f788-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
dag_id,data,mse_factor,name,stage_id
cb19860d-f788-11e9-a61e-340286a22b19,{'a2': {'size': 160}},0,graph,0
cb19860d-f788-11e9-a61e-340286a22b19,{'b16': {'size': 300}},0,graph,2
cb19860d-f788-11e9-a61e-340286a22b19,{'b16': {'size': 300}},0,graph,2
cb19860d-f788-11e9-a61e-340286a22b19,{'c21': {'size': 160}},0,graph,4
cb19860d-f788-11e9-a61e-340286a22b19,{'c21': {'size': 160}},0,graph,4
dag_id,data,mse_factor,name,stage_id
2687bc34-f78b-11e9-a61e-340286a22b19,{'c26': {'size': 40}},0,graph,0
2687bc34-f78b-11e9-a61e-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
2687bc34-f78b-11e9-a61e-340286a22b19,"{'d21': {'size': 160}, 'f': {'size': 150}, 'c26': {'size': 240}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
2687bc35-f78b-11e9-a61e-340286a22b19,{'a27': {'size': 40}},0,graph,0
2687bc35-f78b-11e9-a61e-340286a22b19,"{'b3': {'size': 96}, 'a27': {'size': 160}}",0,graph,0
2687bc35-f78b-11e9-a61e-340286a22b19,"{'c26': {'size': 160}, 'b3': {'size': 160}, 'a27': {'size': 240}}",0,graph,0
2687bc35-f78b-11e9-a61e-340286a22b19,{'d6': {'size': 93}},0,graph,1
2687bc35-f78b-11e9-a61e-340286a22b19,"{'b16': {'size': 125}, 'd6': {'size': 185}}",0,graph,1
2687bc35-f78b-11e9-a61e-340286a22b19,"{'a18': {'size': 320}, 'b16': {'size': 250}, 'd6': {'size': 277}}",0,graph,1
2687bc35-f78b-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
2687bc35-f78b-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
2687bc35-f78b-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
2687bc35-f78b-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
dag_id,data,mse_factor,name,stage_id
710cc8ca-f78c-11e9-a61e-340286a22b19,{'c26': {'size': 40}},0,graph,0
710cc8ca-f78c-11e9-a61e-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
710cc8ca-f78c-11e9-a61e-340286a22b19,"{'d21': {'size': 160}, 'f': {'size': 150}, 'c26': {'size': 240}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
710cc8cb-f78c-11e9-a61e-340286a22b19,{'a27': {'size': 40}},0,graph,0
710cc8cb-f78c-11e9-a61e-340286a22b19,"{'b3': {'size': 96}, 'a27': {'size': 160}}",0,graph,0
710cc8cb-f78c-11e9-a61e-340286a22b19,"{'c26': {'size': 160}, 'b3': {'size': 160}, 'a27': {'size': 240}}",0,graph,0
710cc8cb-f78c-11e9-a61e-340286a22b19,{'d6': {'size': 93}},0,graph,1
710cc8cb-f78c-11e9-a61e-340286a22b19,"{'b16': {'size': 125}, 'd6': {'size': 185}}",0,graph,1
